,text,Classification,compound
0,Serviço público #coronavirus ,Neutral,0.0
1,Imaginem quando o Éder for para foder o Corona vírus ,Negative,-0.5423
2,"Daqui um ano vão fazer um filme baseado no coronavirus. ""Epidemia de covi-19 no mundo""",Neutral,0.0
3,O JJ admitiu que perdeu uma pessoa em Portugal com coronavirus e vocês ainda acreditam que não há mortos????,Positive,0.7674
4,França em lockdown dentro de 2 semanas. Imbecis. #coronavirus ,Neutral,0.0
5,Pelo menos n havia coronavirus ,Neutral,0.0
6,Isto é real. Todas estas fotografias foram tiradas em Lisboa durante esta semana. Façam um favor a vocês mesmo e aos que vos rodeiam e não saiam de casa. Sejamos responsáveis e a única maneira de ajudar é ficar em casa. Para o @observador #coronavirus #covid,Positive,0.7813
7,Coronavirus nesse corpinho aqui não ,Neutral,0.0
8,Esperemos que já não haja corona virus aí né,Positive,0.128
9,Coronavírus fdp,Neutral,0.0
10,"CoronaVirus -Criado na China -Matou 3.000 pessoas na China, em 1.3 biliões de pessoas. -Alastrou-se por toda o mundo -Bolsas Nacionais desceram todas -Chineses, recuperados gastaram milhões nas bolsas europeias e norte americanas Quem ficou a não perder com isto foi a china!",Negative,-0.1615
11,"“Você decide, a minha boca ou a do litrão???? Cêquer dançar comigo ou descer até o chão, sozinhaaaaa? “ essa musiquita é mutchooooo cagada mas não sai da m cabeça kkkk imagina.... boca do litrão nem pega corona vírus eu hein",Negative,-0.5248
12,"HOMENAGEM A TODOS OS PROFISSIONAIS DO SNS. Portugal #força #covid19 #CORONAVIRUS #coronavirus #snsd em Aldeia De Paio Pires, Setubal, Portugal https://www.instagram.com/p/B9uv25_pePC/?igshid=15qiauoovxyqg",Neutral,0.0
13,Na minha rua bateram palmas aos médicos que estão a cuidar dos infetados pelo corona virus. E na vossa?,Neutral,0.0
14,"twitter agora é 85% coronavirus, e o pior é que dou rt em tudo ",Negative,-0.6249
15,#COVIDー19 duas mulheres em fuga do hospital (mãe e filha) suspeitas de estar infetadas com #coronavírus quem avança c/ esta pérola ? #cmtv,Negative,-0.6249
16,Corona vírus já fez mais pelo o ambiente do que a Greta,Neutral,0.0
17,Por conta da pandemia (Corona Vírus) estamos de quarentena! E agora! O que vai ser feito de nós profissionais cabeleireiros??? #cabeleireiros #coronavirus #portugal #quaretena #todosemcasa #karloswendell… https://www.instagram.com/p/B9uqCzBn4X2/?igshid=ufmt30qep78d,Neutral,0.0
18,uma coisa é certa: este isolamento social é ótimo p/ ñ levar com gente estúpida #coronavirus | #COVIDー19 | #FicaEmCasa |,Neutral,0.0258
19,"Ao contrário de ""vacina"" falsa de Cuba, instituto Israelense pretende testar vacina contra o Coronavírus em 90 dias (veja o vídeo) ",Negative,-0.4767
20,Pegar o corona vírus passa a ser uma esperança,Positive,0.4404
21,"Não é que um cota hoje me disse pretos não apanham coronavirus ,contas tão bue inocentes juro",Positive,0.5516
22,"Nossa amada @pretagil declarou agora nos storie que tá com corona vírus. Melhoras, Pretinha. Você é patrimônio afetivo do Brasil. Estamos todos aqui . Saúde, corazon. Cariño",Positive,0.8519
23,Não aguento ver pessoas da minha área minimizando o Coronavírus. Vou dar um desconto pq acho que as informações talvez não estejam chegando de forma adequada no Brasil. Tão comparando a Obesidade. Tipo conspiração da indústria farmacêutica e alimentar ,Negative,-0.5667
24,"#Pendurados #hanging #Coronavirus #oblige em Lisboa, Portugal - União Européia https://www.instagram.com/p/B9uMD88A00q/?igshid=1bro8a5bc60w9",Neutral,0.0
25,Coronavirus é um conspiração das mulheres para os maridos ficarem a limpar a casa.,Negative,-0.1779
26,Episódio de Hoje - O SUMIÇO DO PAPEL HIGIÊNICO #papelhigienico #vamuver #cadeopapelhigienico #covid19 #coronavirus em Portugal https://www.instagram.com/p/B9uEtDRJpzj/?igshid=1me41gsqnjdn2,Neutral,0.0
27,Da maneira como a malta reage com o #coronavirus admiram-se que nunca ninguém admita que os OVNIs existem?,Neutral,0.0
28,"Em meio ao coronavirus, acho que é um bom momento para incentivamos a saudação Wakanda como cumprimento universal. ",Positive,0.886
29,o corona vírus que o que é que o que aconteceu no passado obscuro da pra gente conversar sobre isso,Neutral,0.0
