,text,classification,score
0,Gustavo Lima vai fazer uma live para ajudar os médicos que estão lutando contra o coronavírus. Que foda mano!,POSITIVE,0.5094963908195496
1,Pergunta num teste de história de 2078 Qual foi o país europeu mais afetado pelo coronavírus ? ,POSITIVE,0.5085663199424744
2,O capitalismo selvagem é desumano e opressor. O Corona vírus nos deixa no mesmo patamar. ,POSITIVE,0.5127460360527039
3,"2 coisas que precisam acabar imediatamente: o coronavírus e o BBB, por favor @Deus",NEGATIVE,0.5203612446784973
4,A guerra contra o coronavirus passou a uma guerra norte-sul. #sad,POSITIVE,0.5185202360153198
5,"Quando percebeu que o coronavírus estava a provocar abusos nos direitos das suas colegas (..) Catarina soube que não tinha outra hipótese senão lutar por elas. História de uma mulher de limpezas e da honra que ela tenta prestar à memória do pai, herói da Revolução dos Cravos. ",POSITIVE,0.5124688744544983
6,"Essa semana eu quero eliminar o Corona Vírus, eu quero sair dessa casa não aguento mais!!!!! #ForaCoronaVirus",POSITIVE,0.5033131837844849
7,"6408 casos confirmados em Portugal. 446 novos casos confirmados em 24 horas. 571 pessoas internaras no país, sendo 164 em estado grave. 140 pessoas morreram vítimas do coronavírus em Portugal desde o início da pandemia. ",POSITIVE,0.5100101232528687
8,"Levante, que a luz do sol já bagre em sua janela! #quarantine #coronavirus #quarentena #stayhome #homesweethome #reflection #brainstorm #holding #loading #photograpy #shutterstockcontributor em Odivelas https://www.instagram.com/p/B-WxxvdBEAi/?igshid=zl4c5sckl0o",NEGATIVE,0.5278187394142151
9,Coronavírus: Espanha regista 812 mortes nas últimas 24 horas http://dlvr.it/RSqBjW Em http://www.TSF.pt,NEGATIVE,0.5014879107475281
10,Só a manu no paredão pra tirar meu foco no corona vírus... #ForaPrior,POSITIVE,0.502958357334137
11,Coronavírus: Twitter apaga vídeos de Bolsonaro na rua. Violavam recomendações para se conter surto ,POSITIVE,0.5067972540855408
12,Boa ligação para compreender o conceito de escala local durante a pandemia do #coronavírus #covid19. #Localism #StayHome #FiqueEmCasa,NEGATIVE,0.504393994808197
13,"Sem dúvida, o combate ao coronavírus é uma grande política pública do prefeito @marchezan_. Se todos os líderes tomassem as mesmas decisões do prefeito de Porto Alegre, a pandemia poderia ser diferente no BR. Força, prefeito! Não dê ouvidos aos achismos e cientistas de whataspp.",POSITIVE,0.502045214176178
14,Aviões da easyJet ficam em terra por causa do coronavírus http://dlvr.it/RSptqZ Em http://www.TSF.pt,POSITIVE,0.5073012113571167
15,Sabe quem também não gosta de futebol? Corona vírus. ,POSITIVE,0.5096310377120972
16,Personagem aleatória que destruiria o Coronavírus ,NEGATIVE,0.5069423913955688
17,"Daniel Podence dizia que o Bruno de Carvalho preocupa mais o Coronavirus do que o Sporting. Sabemos do que ele é, um marreta e um traidor. #Coronavirus #STOPCOVID19 #COVID2019",POSITIVE,0.5077369213104248
18,"E você só o corona vírus no corpo né, fazendo festa",POSITIVE,0.5263482928276062
19,E esta coisa do coronavírus pôs a bÁctéria de quarentena. ,NEGATIVE,0.5098670125007629
20,Eu me arrumando toda pra ficar dentro de casa enquanto o corona vírus destrói o mundo ,POSITIVE,0.5001549124717712
21,"Se continuar procure o médico um dos sintomas do coronavírus é um cansaço grande, claro além da febre. Olha isso mesmo que for outra coisa, quero te ver bem",POSITIVE,0.5076496601104736
22,"As minhas #corrida deste fim de semana. . #CoronaVirus #FiqueEmCasa . . . Weekend's #running . #Covid19 #StayAtHome . em Lisboa, Portugal - União Européia https://www.instagram.com/p/B-VNF-AAqBM/?igshid=1a6bnrb46mpoo",POSITIVE,0.5185152888298035
23,Ae dona Judith .. pega aqui esse coronavirus q o presidente mandou pra ,NEGATIVE,0.5023691058158875
24,"Em tempos de Coronavírus, precisamos apoiar quem mais sofre com a crise. Pressione o Senado pela aprovação de uma Renda Básica Emergencial para as famílias mais pobres do Brasil! ",NEGATIVE,0.5089409947395325
25,"Corona vírus, está em suas mãos. ",POSITIVE,0.5243136882781982
26,"O coronavirus já me tirou Punta agora por favor eu quero muito ver o Kendrick ao vivo, isso tem de acontecer",POSITIVE,0.508192241191864
27,Tentem ter coronavirus nos EUA ou na China,NEGATIVE,0.5062000751495361
28,Criança de 14 anos morre vítima de coronavírus em Santa Maria da Feira http://dlvr.it/RSmcJd Em http://www.TSF.pt,POSITIVE,0.5152145028114319
29,Lar da Misericórdia de Foz Côa com 47 utentes infetados pelo coronavírus http://dlvr.it/RSmWhL Em http://www.TSF.pt,POSITIVE,0.5019870400428772
