,text,classification,score
0,Serviço público #coronavirus ,POSITIVE,0.9994474649429321
1,Imaginem quando o Éder for para foder o Corona vírus ,NEGATIVE,0.9946732521057129
2,"Daqui um ano vão fazer um filme baseado no coronavirus. ""Epidemia de covi-19 no mundo""",POSITIVE,0.979605495929718
3,O JJ admitiu que perdeu uma pessoa em Portugal com coronavirus e vocês ainda acreditam que não há mortos????,NEGATIVE,0.9593324065208435
4,França em lockdown dentro de 2 semanas. Imbecis. #coronavirus ,NEGATIVE,0.9981709122657776
5,Pelo menos n havia coronavirus ,POSITIVE,0.997626781463623
6,Isto é real. Todas estas fotografias foram tiradas em Lisboa durante esta semana. Façam um favor a vocês mesmo e aos que vos rodeiam e não saiam de casa. Sejamos responsáveis e a única maneira de ajudar é ficar em casa. Para o @observador #coronavirus #covid,POSITIVE,0.99871426820755
7,Coronavirus nesse corpinho aqui não ,NEGATIVE,0.9796096682548523
8,Esperemos que já não haja corona virus aí né,NEGATIVE,0.9822903871536255
9,Coronavírus fdp,NEGATIVE,0.9368454217910767
10,"CoronaVirus -Criado na China -Matou 3.000 pessoas na China, em 1.3 biliões de pessoas. -Alastrou-se por toda o mundo -Bolsas Nacionais desceram todas -Chineses, recuperados gastaram milhões nas bolsas europeias e norte americanas Quem ficou a não perder com isto foi a china!",NEGATIVE,0.9947976469993591
11,"“Você decide, a minha boca ou a do litrão???? Cêquer dançar comigo ou descer até o chão, sozinhaaaaa? “ essa musiquita é mutchooooo cagada mas não sai da m cabeça kkkk imagina.... boca do litrão nem pega corona vírus eu hein",NEGATIVE,0.9984630346298218
12,"HOMENAGEM A TODOS OS PROFISSIONAIS DO SNS. Portugal #força #covid19 #CORONAVIRUS #coronavirus #snsd em Aldeia De Paio Pires, Setubal, Portugal https://www.instagram.com/p/B9uv25_pePC/?igshid=15qiauoovxyqg",POSITIVE,0.9161794185638428
13,Na minha rua bateram palmas aos médicos que estão a cuidar dos infetados pelo corona virus. E na vossa?,POSITIVE,0.7209927439689636
14,"twitter agora é 85% coronavirus, e o pior é que dou rt em tudo ",NEGATIVE,0.9997813701629639
15,#COVIDー19 duas mulheres em fuga do hospital (mãe e filha) suspeitas de estar infetadas com #coronavírus quem avança c/ esta pérola ? #cmtv,NEGATIVE,0.9899643659591675
16,Corona vírus já fez mais pelo o ambiente do que a Greta,POSITIVE,0.914853036403656
17,Por conta da pandemia (Corona Vírus) estamos de quarentena! E agora! O que vai ser feito de nós profissionais cabeleireiros??? #cabeleireiros #coronavirus #portugal #quaretena #todosemcasa #karloswendell… https://www.instagram.com/p/B9uqCzBn4X2/?igshid=ufmt30qep78d,NEGATIVE,0.9988685250282288
18,uma coisa é certa: este isolamento social é ótimo p/ ñ levar com gente estúpida #coronavirus | #COVIDー19 | #FicaEmCasa |,NEGATIVE,0.9654064774513245
19,"Ao contrário de ""vacina"" falsa de Cuba, instituto Israelense pretende testar vacina contra o Coronavírus em 90 dias (veja o vídeo) ",NEGATIVE,0.9749109745025635
20,Pegar o corona vírus passa a ser uma esperança,POSITIVE,0.9966517686843872
21,"Não é que um cota hoje me disse pretos não apanham coronavirus ,contas tão bue inocentes juro",NEGATIVE,0.628038763999939
22,"Nossa amada @pretagil declarou agora nos storie que tá com corona vírus. Melhoras, Pretinha. Você é patrimônio afetivo do Brasil. Estamos todos aqui . Saúde, corazon. Cariño",POSITIVE,0.999745786190033
23,Não aguento ver pessoas da minha área minimizando o Coronavírus. Vou dar um desconto pq acho que as informações talvez não estejam chegando de forma adequada no Brasil. Tão comparando a Obesidade. Tipo conspiração da indústria farmacêutica e alimentar ,NEGATIVE,0.9982078671455383
24,"#Pendurados #hanging #Coronavirus #oblige em Lisboa, Portugal - União Européia https://www.instagram.com/p/B9uMD88A00q/?igshid=1bro8a5bc60w9",NEGATIVE,0.8539354801177979
25,Coronavirus é um conspiração das mulheres para os maridos ficarem a limpar a casa.,NEGATIVE,0.995258092880249
26,Episódio de Hoje - O SUMIÇO DO PAPEL HIGIÊNICO #papelhigienico #vamuver #cadeopapelhigienico #covid19 #coronavirus em Portugal https://www.instagram.com/p/B9uEtDRJpzj/?igshid=1me41gsqnjdn2,NEGATIVE,0.9636783599853516
27,Da maneira como a malta reage com o #coronavirus admiram-se que nunca ninguém admita que os OVNIs existem?,POSITIVE,0.8179596662521362
28,"Em meio ao coronavirus, acho que é um bom momento para incentivamos a saudação Wakanda como cumprimento universal. ",POSITIVE,0.9998112320899963
29,o corona vírus que o que é que o que aconteceu no passado obscuro da pra gente conversar sobre isso,NEGATIVE,0.9916743040084839
